Attribute,Correlation
Accountable,0.327218646
Adaptive,0.202464572
Adult mobility,0.330280812
Age structure,0.52999894
Agency,0.396202908
Cross-scale integration,-0.043881039
Dietary flexibility,0.240370085
Economic diversity,-1.52E-20
Economic opportunity,0.340408736
Ecosystem connectivity,0.377009614
Effective and efficient,-0.189781319
Environmental niche breadth,-0.316227766
Equitable and inclusive,-0.364246398
Evolutionary potential,-0.187112572
Flexible and agile infrstructure,0.366617788
Genetic diversity,-0.252860869
Habitat diversity,0.419285494
Knowledge access,0.16450488
Knowledge diversity,0
Larval dispersal,0.458333333
Leadership and initiative,0.233736748
Learning capacity,0.026207121
Mobility,-0.165748386
Modular infrastructure,0.337099931
Participatory,0.301401764
Place attachment,0.982471865
Plasticity,0.510860314
Polycentric,0.365051038
Population abundance,0
Population modularity,0.359597476
Resilience mindset,-0.162610909
Responsive,-0.135147476
Social capital,0.03529656
Social diversity,0.676938138
Species diversity,0.441859725
Technology transfer,0.688864077
Transparent,-0.228217732
Wealth and reserves,0.417082483
