case_study,case_study_author,resilience_of_what_to_what,fishery_scale_small_or_large,fishery_location,climate_impacts_physical,have_physical_impacts_been_experienced_already_or_are_they_projected,climate_impacts_ecological,have_ecological_impacts_been_experienced_already_or_are_they_projected,other_shocks_that_have_tested_resilience,highest_scoring_dimension,highest_scoring_domain,second_highest_scoring_domain,third_highest_scoring_domain,highest_scoring_attributes_select_5_or_less,most_important_dimension,highest_importance_domain,second_highest_importance_domain,third_highest_importance_domain,most_important_attributes_select_5_or_less,consider_the_questions_in_columns_v_x_can_you_best_answer_these_for_the_results_based_on_scores_cols_k_o_or_importance_cols_p_t_or_would_either_work_for_your_case_indicate_which_one_you_are_using_to_complete_columns_v_z,consider_the_of_what_to_what_statement_how_have_these_resilience_attributes_and_domains_supported_constrained_resilience_in_this_fishery,what_conditions_support_these_resilience_domains_or_enable_their_presence_strength_in_this_fishery_system,what_are_important_linkages_or_dependencies_between_resilience_domains_or_dimensions,are_any_important_points_missing_from_the_case_when_you_describe_it_based_on_the_attribute_domain_scores_or_importance,is_climate_change_altering_the_important_resilience_domains_that_appear_in_the_case_now_how_what_domains_may_become_more_important_given_climate_expectations_for_the_future
Stalked barnacle fishery in Galicia (NW Spain),Aguion,resilience of the Galician stalked barnacle fishery to warming and changes in upwelling,Small-scale,coastal,warming trend and upwelling weakening,"mainly projected, although upwelling winds are suggested to have already weakened",not well established,projected (unclear and contradictory),"severe depletions due to overfishing end of the 1980s, oil spill in 2003, economic crises 2008-2013, mussel seed spat collection, covid-19",Governance,Governance-learning,Social-learning,Governance-organization,"Gov-learning, Social-learning, Gov-organization, then ties",Governance,NA,NA,NA,"Top 5 are all ties (Social-agency, Social-learning, Gov-agency, Gov-flexibility, Gov-learning)",NA,"Support: They have supported well-defined boundaries in the fishery, management at very detailed spatial scales (1-10 km), the creation of communities with a high sense of belonging and the use of local ecological knowledge in daily decision-making. Constrained: They have constrained resilience by the absence of fishery-independent data and environmental data in management, and by the lack of a long-term regional plan to guide decision-making","1) Consideration of the social dimension when setting up management boundaries (i.e., TURFs established based on fishers associations that exist since the Middle Ages).  2) The financial support from the regional government to TURFs to hire their own fisheries biologist who provides daily advice (for all small-scale resources), ellaborates management plans and acts as a bridge between fishers, managers and other stakeholders",The lack of stock assessment + environmental data in management might be compensated by the ecological flexibility of barnacles. Co-management and the adaptive and responsive governance likely to confer resilience to the interannual variability of key ecological processes like recruitment,"TURFs are highly heterogeneous (size, exposure to warming, economic dependency, leadership, management strategies, etc) and important differences in the social-ecological vulnerability of TURFs to warming has been described. This variabilty is an important point not reflected here",NA
NA,Burden,NA,NA,NA,NA,NA,NA,NA,NA,Governance,Governance-learning,Governance-organization,Social-flexibility,"Gov-learning, Gov-organization, Social-flexibility, then ties",Governance,Governance-flexibility,Governance-learning,Social-flexibility,"Gov-flexibility, Gov-learning, Social-flexibility, Gov-organization, Soc-learning",NA,NA,NA,NA,NA,NA
European Pelagic fisheries,Dickey-Collas,resilience of the pelagic fisheries to climate linked changes in distribution,Large-scale,pelagic,warming trend,experienced and projected,"changing population productivity, phenology, and distribution",experienced and projected,collapsing fisheries due to overfishing in the 1970-1980s,Social-economic,Social-agency,Social-organization,Social-learning,"Social-agency (tie), Social-organization (tie), Social-learning, Social-assets, Social-flexibility",Social-economic,Social-agency,Social-organization,Governance-flexibility,"Top 3 are ties (Social-agency, Social-organization, Gov-flexibility), then Ecological-flexibility, Social-assets",either but I am using scores,sorry I struggle with this question,sorry I struggle with this question,sorry I struggle with this question,the right to fish is missing. These big boats are losing the media war to maintain fishing,governance is extremely challenged. with time the ecological will probably become more important especially if oceanography of North Atlantic is impacted
Kiribati giant clam,Eurich,Resilience of the I-Kiribati giant clam fishery to coral bleaching and ocean acidification,Small-scale,island,warming (coral bleaching; habitat degredation),experienced and projected,ocean acidification (calcareous growth and symbiotic associations with photobionts),experienced and projected,NA,Governance,Social-agency,Governance-learning,NA,"Social-agency, Gov-learning, then ties (Social-learning, Gov-agency, Gov-organization)",Governance,Social-agency,Governance-agency,Governance-learning,"Social-agency, Gov-agency, Gov-learning, Gov-org, Social-flexibility",NA,"The Kiribati giant clam fisheries resilience to coral bleaching and ocean acidification is supported by high capacity in the social dimenstion (resilience mindset, learning capacity, place attachment, agency, and capacity to embrace change) and thus, adaptive customary management despite limited capacity from the government (low weath and reserves, social capital, economic opportunity, mobility, and accountability).","Ecologically, the species fished are generally resilient to climate change due to high plasticity, evolutionary potential, ecosystem connectivity, and larval dispersal. Additionally, there is high species diversity within the fishery (multi-species), which provides increased flexibility (e.g., differences in depth and spatial ranges, life history traits, and spawning seasons).","The resilience of the fishery moving forward will depend on the socio-economic dimension and all accountable actors. Specifically, maintaining and fostering the resilience mindset, learning capacity, place attachment, and agency while maintaining social capital. Wide-scale habitat degradation from coral bleaching coupled with the unknown physiological stressors of changes in sea surface temperature and ocean acidification has, and will continue to, impact the fishery.",NA,"Yes, customary adaptive management through engaged local agents (Island Council; i.e., not national agents) will be critical for the resilience of the fishery moving forward."
California Dungeness crab fishery,Free,Resilience of the commercial Dungeness crab fishery to climate change,Small-scale,coastal,"marine heatwaves becoming increasingly frequent, long, and interense; ocean acidification and hypoxia projected threats",Experienced and projected,HABs cause domoic acid contamination which trigger fishery closures; climate-driven compression of whale foraging grounds caused increased risk of entanglement with the fishery; acidification may reduce growth/survival; hypoxia may change catchability and reduce growth/survival,Experienced and projected,Settlement of a lawsuit brought on by the Center for Biological Diversity dramatically disrupted the fishery and its management,Governance,Governance-agency,Ecological-assets,Social-learning,"polycentric, cross-scale integration, learning capacity, population abundance, learning capacity",Governance,Governance-flexibility,Governance-organization,Governance-learning,"population abundance, participatory, effective and efficient, adaptive, transparent",either but I am using importance,"The incredible importance of this fishery -- the most lucrative on the West Coast and central in fishing neworks - has made it both resilient and vulnerable to climate change. Fisher livelihoods have been incredibly disturbed as a result of their reliance on the Dungeness crab fishery. However, it's importance has also stoked high coordinattion and participation byt the fleet and high attetion by management. There has been lots of cross-scale, polycentric, and transparent management that has been effective at roughly managing the  problem but more participation and attention to equity and inclusiveness is required. Also, better quantitativet tools are required for management to become effective and efficienty. Managers are currenty limited by capacity.",This is the most lucrative fishery on the West Coast which means that recent issues are recieiving enormous management attention and statehold participation and advocacy. This supports the resilience of the system by promoting coordinatation among stakeholders and integration with management. The high productivity of the system also provides a buffer against uncertainty.,"The Ecological dimension is inherently resilient and provides a short-term buffer while attributes in the Governance and Social-Economic dimensions adapt. Ultimately, these are the most important dimensions but the Ecological dimension provides a critical crutch. The Dungeness crab fishery has been historically easy to manage and exceptionally lucrative which made both fishers and managers less prepared for sudden perturbations. This ties the Social-Economic and Governance dimensions closely together because it requires coordinated, participatory action to identify tractable solutions.",Not sure how to answer this - my other spreadsheet has lots of infromation which obviously couldn't be fit in here.,"If HABs and whale entanglement risk (especially), overwhelm the viability of the fishery, then the fishers will depend on Assets and Flexability to survive. Thus, climate change could move these domains from being secondary domains to primary domains. If effective management can mitigate HAB and whale entanglement risk, then Organization, Learning, and Agency are likely to be the important role players. We're at a critical inflection point."
Fijian nearshore fisheries,Friedman,"Resilience of Fijian nearshore coral reef and mangrove fisheries to current and projected impacts of climate change, including increased intensity of cyclones, increased frequency and intensity of marine heatwaves, and sea level rise.",Small-scale,island,"Increased intensity of cyclones, increased frequency and intensity of marine heatwaves, sea level rise",Experienced and projected,Cyclones damage reefs and mangroves. Warming events have caused coral bleaching; although recovery thus far has been good in Fiji. Sea level rise affects mangroves; affecting both mangrove and reef based fisheries,Experienced and projected,Covid-19,Ecological,Governance-agency,Ecological-assets,Social-agency,"Gov-agency, Ecological-assets, Social-agency, Social-assets, Social-flexibility",Ecological,Governance-agency,Social-agency,Social-flexibility,"Ecol-species diversity, Ecol-habitat diversity, Soc-place attachment, Soci-flexible/agile infrastructure, Gov-participatory",NA,NA,NA,NA,NA,NA
Mixed coral reef fishery in northeastern Madagascar,Golden,Resilience of human nutrition to changes in access to coral reef fisheries,Small-scale,coastal,warming trend; coral bleaching; cyclonic destruction of reef areas,Experienced and projected,Not well established in this region,Projected,Industrial fishing,Ecological,Ecological-assets,Ecological-organization,Social-organization,NA,Ecological,Ecological-assets,Ecological-organization,Social-flexibility,NA,NA,NA,NA,NA,NA,NA
Bering Sea Groundfish,Hollowed,"Resilience of fish, commercial fisheries, fishery dependent communities to environmentally driven changes in productivity",Large-scale,pelagic,"Loss of sea ice, weaker frontal boundaries, warming (surface and bottom), shift in bloom timing, changing stratification, ocean acidification, altered fluxes","yes - loss of sea ice, OA, marine heat waves, and shifting wind driven currents have all occurred","Shifting spatial distribution of gadids and flatfish, declines in production of some gadids, increased presence of sablefish","Experienced, forecasted and projected",NA,Governance,Social-agency,Governance-flexibility,Governance-learning,"Top 3 are ties (Social-wealth reserves, Social-place attachment, Social-technology transfer, Social-knowledge diversity, Social-learning capacity, Social-agency, Social-responsive) (Gov-accountability, Gov-effective and efficient, Gov-adaptive), Ecological-connectivity",Social-economic,Social-agency,Governance-flexibility,Governance-learning,"Top 3 are ties (Social-agency, Gov-flexibility, Gov-learning), Ecological-assets, then 3 more ties (Social-assets, Social-learning, Social-organization)",NA,"There are multiple reasons why the Bering Sea groundfish fisheries have been sustainable at high levels for decades. Early on an effective catch accounting program was established that allowed for in-season management of catch across species and fishing sectors. Recognition of the need for distribution of access (both fishing and processing) across multiple sectors and communities  addressed the needs of diverse fishery dependent communities. The groundfish resources in the Bering Sea utilize a precautioary approach based on the Best Scientific Information Available and an overall OY cap. Assessments are peer reviewed and annual catch target and limits are determined by scientists.  Economic value of the Bering Sea resources is very high allowing investment in new products, markets and technologies as well as industry funded research.  Government provides fisher dependent and fishery independent monitoring of the resource and supports frequent stock assessments to track population trends. The region is very large allowing mobile stocks to shift their distribution under changing climate conditions. Management decisions are made in a transparent manner with voices from multiple consituients considered.",NA,NA,NA,NA
Juan Fernandez Islands,Kleisner,"Resilience of the commercial lobster and other important demersal species targeted by the artisanal small-scale fishery to climate change and other stressors (invasives, contamination) as well as shocks to the system (tsunami, COVID-19)",Small-scale,island,"Warming, ocean acidification, increased frequency/severity of El Nino events, frequency/severity of large storms, changes in ocean currents","Mainly projected, although there have been increased frequency of large storms",Tsunamis have triggered an ecosystem change: an outbreak of urchins that has upset the balance of predators and prey.,"Some experienced (e.g., from pulse events), but mainly projected",Introduction of invasive species to a highly (>60%) endemic island.,Governance,Governance-agency,Social-learning,NA,"Gov-agency, Social-learning, then 6 domains are tied",Governance,NA,NA,NA,"Top 4 are ties (Ecological-assets, Social-agency, Gov-agency, Gov-learning), Social-flexibility",either but I am using importance,"The strong social ties in the JF community, the sense of ecological stewardship of the local people, their keen sense of the importance of learning and use of knowledge to manage the fishery, and their strong dependence on the resources has contributed to the self-motivation of the locals to pursue a multispecies fisheries management plan that accounts for the impacts of climate change. Ensuring that their livelihoods and the resources they depend on are sustainable and resilient is of paramount importance and so they have this as a key goal for the FMP. Additionally, biodiversity protections have been put in place via no-take zones, which has helped maintain the ecological integrity of the fisheries system. The locals place a high value on the importance of diversification in fishing and using marine resources. In the demersal fishery (less so for the lobster fishery, which is very important commercially as an export fishery) there is an understanding of the need to not overfish any particular species.","Strong social ties: they have very high levels of organization and it's generally a tight-knit community. Because it's such a small, isolated community, they have a monitoring team, a sydicato that is well-organized. There have been various efforts to create a network of collaboration (IFOP, U of Conception and JF fishers) for monitoring--big project and also for MPA monitoring. One of the fishers receives compensation for monitoring efforts. Communities, government and NGOs are creating a formal FMP process for the multispecies finfish fishery. Currently, there's good compliance with the spatial protections in place and the goals are co-management and increased stakeholder participation.
Many fishers are formally trained in science--have a mindset that is a bit different than other areas. They have an ability to communicate their goals, aware of need for protection of their biodiversity. They tend to have more more income and travel for holidays to international destinations--better education and more exposure to other cultures. 
They are also in the process of building infrastructure to add value to the fishery: building a processing plant to be able to fish and process new species and get higher prices on the mainland. The main export species is still lobster, but they are trying to diversify and sustainbly fish other demersal speices as a sort of economic safety net. However, the demersal fisheries still don't have a well established supply chain.",There are strong links to the special ecology of a region and the social and cultural ties to the resources that act to accentuate the resilience mindset of the people. The particular dependence on the marine resources (especially for wealth and assets) has bolstered the place attachment but also the agency of the people to take charge and push for more sustainable approaches and increased learning.,NA,"Due to the endemic nature of targets, if shifts happen fast, the species may not be able to adapt to the new regime. This may mean that transformation is necessary and seriously jeopardize the livelihoods and culture of the JF people. This may mean that there is increased importance placed on learning, economic opportunity and mobility"
Papua New Guinea reef fishery,Lau,Resilience of reef fishery and customary management to climate shocks and declining biomass,Small-scale,island,"sea-level rise, increased air and sea-surface temperatures, and ocean acidification",Experienced and projected,Not well established in this region,Experienced and projected,NA,Governance,Governance-agency,Governance-flexibility,Governance-learning,"Top 3 are ties (Gov-agency, Gov-flexibility, Gov-learning), Social-agency, then tie (Ecological-assets, Social-organization)",Social-economic,Social-agency,Governance-agency,Governance-flexibility,"Top 4 are ties (Ecological-organization, Social-agency, Gov-agency, Gov-learning), Social-flexibility",NA,"Flexible governance and governance agency, underpinned by strong social organization have helped confer resilience to short term shocks. Lack of connection to higher scales of governance, and challenges extrapolating short term learning to long term trends may constrain resilience to longer term changes. In addition, the strong connection between social-organization and governance may constrain governance decisions: cannot focus solely on ecological resilience, but must take social expectations into account re. the fishery.","Bottom-up participatory management, not very polycentric (i.e., not linked to higher scales of governance), enables flexibility and agency at a local level re. fisheres management and enforcing compliance. Place-based adaptive learning plays an important role in governance-flexibility. Kinship and attachment to place support social organziation.","Links between social-organization and governance-flexibility (social capital enabling responsive, flexible governance. Assets are a necessary precursory to flexible governance (as there's less direct dependence on the fishery, and the ecological assets help confer resilience). Connection and feedback between social and governance dimensions promotes flexibility, learning and agency.",NA,"Climate change will challenge the time-scales of local customary management. Learning may not identify longer term trends, and thus adaptive governance at the local scale may be ineffective against future changes. Better integration with higher levels of governance may become more important."
