filename,authors,dimension,domain,attribute,score,score_desc,dont_know,not_relevant,quality,importance,mech_apply_yn,mech_apply_notes,notes,case_study
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Assets,Population abundance,3,"Some groundfish stocks have exhibited declines and others increases. Forage fish declined steeply beteween 2015-2017 and remain below their long term mean, benthic foragers are at the lowest level over the time series (early 1980's), and pelagic foragers dropped in 2021 to their second lowest value (driven by pollock) while apex predators were within normal limits in 2021 [Whitehouse slide 31 from EBS ESR - https://meetings.npfmc.org/CommentReview/DownloadFile?p=06598793-2598-4e23-8e8d-15e9a392df88.pdf&fileName=ESR2021_NovPT_EBS_PRESENTATION.pdf]",NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Assets,Age structure,3,Well managed fisheries designed to preserve spawning biomass.  Several populations exhibit highly autocorrelated recruitment.  Gadid populations often exhibit eposodic recruitment and evidence of age diversity still present.,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Assets,Genetic diversity,2,"Region exhibits considerable genetic mixing.  However, genetics of many populations is unknown.",NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Assets,Species diversity,3,"Moderate functional redundancy in populations, strong dominance of pollock since 1980",NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Flexibility,Adult mobility,3,See Spencer et al. 2019; Thorsen 2019.  Several species exhibit known migrations from feeding to spawning grounds.,NA,NA,A - adequate and reliable data/information,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Flexibility,Larval dispersal,3,See Spencer et al. 2019.  Most species exhibit broadcast spawning.  Rockfish are viviparous.  Evidence of maternal effects limited. Temperature impacts mean hatch date.,NA,NA,A - adequate and reliable data/information,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Flexibility,Environmental niche breadth,3,"Most species have the capacity to shift their spatial distribution.  Some stocks have known thermal tolerances that limit resilience to extreme heat. Several stocks exhibit broad geographic ranges that include large regions at lower latitudes.  For many stocks, the region represents the northern range limit although some evidence of spatial shifts to the NBS have recently been observed.  Several species exhibit diverse diets.  Bottle necks appear to occur in 1st year of life.  Many species exhibit broadcast spawning.",NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Flexibility,Dietary flexibility,3,"Most species rely on multiple prey species.  The prey preferences vary.  A key issue is that although species rely on diverse prey types, the enegetic content of prey varies with implications on survival.",NA,NA,A - adequate and reliable data/information,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Flexibility,Habitat diversity,3,"As noted, 7 ecoregions evident.  In addition, benthic substrate varies.",NA,NA,A - adequate and reliable data/information,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Flexibility,Plasticity,3,"Evidence of phenotypic plasticity in growth has been recorded.  As noted, thermal tolerance for juveniles is linked to metabolic demand and available prey quality.",NA,NA,A - adequate and reliable data/information,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Flexibility,Evolutionary potential,2,"Evidence of stock structure at the level of LMES exist, with historical evidence of mixing across the Arctic in past (e.g., herring, cod).  Evidence of an ability to shift spawning location exists with some evidence of separation by distance.",NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Organization,Ecosystem connectivity,4,The eastern Bering Sea shelf represents a broad shelf ecosystem.  It is partitioned into 7 major ecoregions designated by depth related fronts (inner and outer) with interruptions caused by shifting spatial distribution of the cold pool.  Most congeners (benthic feeding flatfish) exhibit spatial partitioning of the resource.,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Ecological,Organization,Population modularity,3,As noted in 4.1.2 some evidence of spatial partitioning at sub-adult and adult life stages is evident.,NA,NA,A - adequate and reliable data/information,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Assets,Wealth and reserves,4,"I would score the harvesting sector a 4, but the wealth of local communities where the fish are landed or are just near the fishing grounds but are not involved in the fisheries directly can have quite low socioeconomic statuses (I would score them a 1).",NA,NA,B - limited data/information and expert judgement,high,yes,"The mechanism works as expected, but the outcomes are really heterogenous in the system depending on who is being referred to.",Response to 2.2.3.1 may be informative in shaping the response to this attribute.,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Assets,Economic diversity,2,The communities where fish are landed are highly concentrated on fishing. But the harvesting sector is largely from the pacific northwest which I would score a 4. [I changed this to 2 based on converstation with larger group] - sounds good (SK),NA,NA,A - adequate and reliable data/information,high,yes,"The mechanism works as expected, but the outcomes are really heterogenous in the system depending on who is being referred to.",Responses to 2.2.3.7 and 2.2.3.10 may be informative in shaping the response to this attribute.,Bering Sea groundfish
