"filename","case_study","authors","topic","subsection","question_id","question","A","B","C","D","E","F","G","H","I","J","K","L","other","description","dont_know","not_relevant","info_quality","notes","extra","extra.1"
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Biogeographic context","2.1.1.","2.1.1.1.","What is the physical context within which the fishery takes place? Check all that apply: 
A. Intertidal (e.g. beach, mangrove)
B. Estuary
C. Coastal/nearshore (e.g. lagoon, fjord, coral reef, archipelago)
D. Shelf
E. Deep sea (e.g. canyon)
F. Other (please specify):",NA,NA,NA,"d","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Biogeographic context","2.1.2.","2.1.2.1.","Which of the following contribute to primary productivity? 
A. Upwelling
B. Fluvial inputs/plumes
C. Sea ice
D. Vegetated habitats (e.g. salt marsh, mangroves, seagrasses, kelp forests)
E. Coral reefs
F. Other (please specify):",NA,NA,"c",NA,NA,"f","g",NA,NA,NA,NA,NA,"Nutrient flux/stratification; temperature; cloud cover, winds, inner-middle-outer-fronts",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Biogeographic context","2.1.3. Species","2.1.3.1.","What is/are the focal species of the fishery? Please describe:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pollock, Pacific cod, Yellowfin sole, Alaska plaice, Flathead sole, Greenland turbot, Northern rock sole, Arrowtooth flounder, Alaska skate, Pacific ocean perch, Northern rockfish, Sablefish",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Biogeographic context","2.1.3. Species","2.1.3.2.","What are the recent population trends (at a time scale relevant to focal species lifespan)?  (For a multispecies fishery, please generally describe types of population trends for groups of species in the ""describe"" column.)
A. Increasing
B. Stable
C. Declining
D. Threatened or vulnerable
E. Insufficient data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pollock (declining), Pacific cod (increasing), Yellowfin sole (declining), Alaska plaice (stable), Flathead sole (stable), Greenland turbot (increasing), Northern rock sole (declining), Arrowtooth flounder (declining), Alaska skate (stable), Pacific ocean perch (increasing), Northern rockfish (increasing), sablefish (increasing)",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Biogeographic context","2.1.4. Habitat","2.1.4.1.","What is the key habitat that supports species in this fishery? Please describe:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benthic substrate; benthic pelagic coupling; sea ice and cold pool; inner - middle and outer fronts; onshore flow; thermal habitats;",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Biogeographic context","2.1.4. Habitat","2.1.4.2","What is the general status of the key habitat used by species in this fishery? (select one)
A. Favorable
B. Inadequate to unfavorable
C. Unfavorable
D. Collapsed
E. Data deficient","a","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Biogeographic context","2.1.4. Habitat","2.1.4.3.","Trend in key habitats: 
A. Improving
B. Stable
C. Deteriorating
D. Data deficient","a","b","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Biogeographic context","2.1.5. Stressors","2.1.5.1.","Is overfishing currently occuring on the stock/stocks in this fishery? (For a multispecies fishery, please describe which stocks (or groups of stocks) are overfished in the ""describe"" column.
A. Yes - substantially
B. Yes - moderately
C. Yes - minimally
D. No
E. Data deficient",NA,NA,NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.1. Social","2.2.1.1.","Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very little of it historically in this offshore fishery, but catch accounting is quite complete.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.1. Social","2.2.1.2.","How dependent are harvesters on the fishery for food or nutrition compared to their dependence on other food options? Please indicate the general range if there is a high degree of variability among participants.
A. High
B. Moderate
C. Low
D. NA",NA,NA,"c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Majority of the catch is exported out of the US.",NA,NA,NA,NA,NA,NA
