topic,question_id,case_study,question,a,b,c,d,e,f,g,h,i,j,k,l
"Social, political, and economic conditions and context",2.2.1.1.,Aguion,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Aguion,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Aguion,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Aguion,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Aguion,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Aguion,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Aguion,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.7.3.,Aguion,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Aguion,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Aguion,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Aguion,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Aguion,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Aguion,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Aguion,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
